char,hex,count,kind,id1,snip1,id2,snip2
J,U+004A,1,ascii,eg_cv_alec_vo33#0,en studying Japanese.
V,U+0056,1,ascii,ev_gen_no525,一真：LIVE TO RIDE
j,U+006A,1,ascii,ev_solo_ramp25#0,Bonjour！
q,U+0071,1,ascii,eg_cv_alec_vo33#1,on is still quite hard.
あ,U+3042,1,hira,sysmes_dic_index_keyword#0,あ
い,U+3044,1,hira,sysmes_dic_index_keyword#10,い
う,U+3046,1,hira,sysmes_dic_index_keyword#11,う
え,U+3048,1,hira,sysmes_dic_index_keyword#12,え
お,U+304A,1,hira,sysmes_dic_index_keyword#13,お
か,U+304B,1,hira,sysmes_dic_index_keyword#1,か
き,U+304D,1,hira,sysmes_dic_index_keyword#14,き
く,U+304F,1,hira,sysmes_dic_index_keyword#15,く
け,U+3051,1,hira,sysmes_dic_index_keyword#16,け
こ,U+3053,1,hira,sysmes_dic_index_keyword#17,こ
さ,U+3055,1,hira,sysmes_dic_index_keyword#2,さ
し,U+3057,1,hira,sysmes_dic_index_keyword#18,し
す,U+3059,1,hira,sysmes_dic_index_keyword#19,す
せ,U+305B,1,hira,sysmes_dic_index_keyword#20,せ
そ,U+305D,1,hira,sysmes_dic_index_keyword#21,そ
た,U+305F,1,hira,sysmes_dic_index_keyword#3,た
ち,U+3061,1,hira,sysmes_dic_index_keyword#22,ち
つ,U+3064,1,hira,sysmes_dic_index_keyword#23,つ
て,U+3066,1,hira,sysmes_dic_index_keyword#24,て
と,U+3068,1,hira,sysmes_dic_index_keyword#25,と
な,U+306A,1,hira,sysmes_dic_index_keyword#4,な
に,U+306B,1,hira,sysmes_dic_index_keyword#26,に
ぬ,U+306C,1,hira,sysmes_dic_index_keyword#27,ぬ
ね,U+306D,1,hira,sysmes_dic_index_keyword#28,ね
の,U+306E,1,hira,sysmes_dic_index_keyword#29,の
は,U+306F,1,hira,sysmes_dic_index_keyword#5,は
ひ,U+3072,1,hira,sysmes_dic_index_keyword#30,ひ
ふ,U+3075,1,hira,sysmes_dic_index_keyword#31,ふ
へ,U+3078,1,hira,sysmes_dic_index_keyword#32,へ
ほ,U+307B,1,hira,sysmes_dic_index_keyword#33,ほ
ま,U+307E,1,hira,sysmes_dic_index_keyword#6,ま
み,U+307F,1,hira,sysmes_dic_index_keyword#34,み
む,U+3080,1,hira,sysmes_dic_index_keyword#35,む
め,U+3081,1,hira,sysmes_dic_index_keyword#36,め
も,U+3082,1,hira,sysmes_dic_index_keyword#37,も
や,U+3084,1,hira,sysmes_dic_index_keyword#7,や
ゆ,U+3086,1,hira,sysmes_dic_index_keyword#39,ゆ
よ,U+3088,1,hira,sysmes_dic_index_keyword#41,よ
ら,U+3089,1,hira,sysmes_dic_index_keyword#8,ら
り,U+308A,1,hira,sysmes_dic_index_keyword#42,り
る,U+308B,1,hira,sysmes_dic_index_keyword#43,る
れ,U+308C,1,hira,sysmes_dic_index_keyword#44,れ
ろ,U+308D,1,hira,sysmes_dic_index_keyword#45,ろ
わ,U+308F,1,hira,sysmes_dic_index_keyword#9,わ
ん,U+3093,1,hira,sysmes_dic_index_keyword#49,ん
丛,U+4E1B,1,cjk,menu_dic_316#6,兴趣特技：天丛云
串,U+4E32,1,cjk,menu_dic_eg_le_koro#0,来自浪漫沙加的客串出演！小小的亲！
乒,U+4E52,1,cjk,eg_we_drpp_vo3,龙宝宝：乒呀啊啊——！
亦,U+4EA6,1,cjk,ev_gho_prepre06#0,梅尔克里：虽不中亦不远哪！
仙,U+4ED9,1,cjk,menu_dic_242#4,仙人掌！
仲,U+4EF2,1,cjk,eg_le_ngen_vo3,人类：这家伙仲好一郎。。。
伪,U+4F2A,1,cjk,d_egg_ev04_03#1,伪装成对王的爱！
伶,U+4F36,1,cjk,menu_dic_eg_pk_prim#0,占将着首席女伶、日以努力的蛋怪！
侠,U+4FA0,1,cjk,eg_du_tmse_w1#1,全装看不见侠。
侥,U+4FA5,1,cjk,ev_gho_int_c07#1,侥幸4呢！
侧,U+4FA7,1,cjk,eg_ms_omed_d,恭喜鸟：饼皮侧面裂了。
俱,U+4FF1,1,cjk,ev_colosseum63b#1,先生，两败俱伤——。
倦,U+5026,1,cjk,eg_du_syam_d,沙米尔星人：手不知疲倦！
债,U+503A,1,cjk,d_tue_0001#0,卡姆拉纳特：必须把欠下的债还清！
偎,U+504E,1,cjk,ev_march11#1,的狭小船舱里两人依偎！
兜,U+515C,1,cjk,ev_fri_st32#1,把最终幻想X-3里瓦卡的兜裆布
册,U+518C,1,cjk,menu_dic_347#6,兴趣特技：编成手册
冢,U+51A2,1,cjk,eg_du_frkn_debug#2,平冢语音
凹,U+51F9,1,cjk,eg_le_levi_d,亚冲浪手：大力的板上有了凹陷。。
刑,U+5211,1,cjk,eg_ms_eggb_vo1#1,现在就在此处处刑啾。
刘,U+5218,1,cjk,menu_dic_eg_cv_atom#2,服装、齐刘海和巨大的蝴蝶结，是状道
剂,U+5242,1,cjk,ev_solo_egg15#2,因为在减肥，氨基酸补充剂也要呢呀
剔,U+5254,1,cjk,ev_gen_no540#3,秀基：简单说，为了剔除游戏里的 bug
剖,U+5256,1,cjk,eg_bo_fuyu_vo3_3#0,：特辑的【烂恋心理彻底解剖】呀
勤,U+52E4,1,cjk,menu_dic_51#7,后勤部队不行吗？
勺,U+52FA,1,cjk,eg_du_ramu_at2,持讨的勺
勿,U+52FF,1,cjk,ev_ear_st50#2,勿抵抗。全员，向军人战斗配
卓,U+5353,1,cjk,d_egg_ev05_03#1,正如拥有卓越知性之人
厂,U+5382,1,cjk,ev_march24#0,·伊努：哈？这种没听过的厂家的
厘,U+5398,1,cjk,ev_solo_atashi36#2,巴厘岛游1500波奇利
厢,U+53A2,1,cjk,ev_june3,莉·伊努：这种地方还有包厢？
厦,U+53A6,1,cjk,menu_dic_eg_du_sand#1,尤其，半熟因特大厦的出没特别快！
厨,U+53A8,1,cjk,ev_solo_atashi17#0,伊奈：来呀，我地下的公主厨房
吨,U+5428,1,cjk,eg_pw_roll_at2,兆吨压制
吩,U+5429,1,cjk,dg_common_tekken64#2,应该说，是被吩咐这么说的！
吭,U+542D,1,cjk,eg_cv_mkai_ms22,夫妇：巨大的冲击星一声不吭！
呗,U+5457,1,cjk,ev_february11#1,伊奈做了就拿她的呗？
呻,U+547B,1,cjk,d_dung_0509#2,听见那边在呻吟！
咏,U+548F,1,cjk,ev_gho_int_c15#1,靠反复吟咏才能感到冲击
咐,U+5490,1,cjk,dg_common_tekken64#2,应该说，是被吩咐这么说的！
咪,U+54AA,1,cjk,eg_pk_musu_ms11,捕获他组：捕获他组在巴咪的地方降了起来。
哗,U+54D7,1,cjk,okunote_yoiko_tk#0,咔。啪唧。砰。咯嘣咯嘣。哗。
哞,U+54DE,1,cjk,eg_pk_milk_vo3#1,哞。到客界了哦。。
唬,U+552C,1,cjk,eg_we_kinu_at2,吓唬
喹,U+55B9,1,cjk,eg_pw_116_vo32#0,豚悟空：沙悟净喹————。。
喻,U+55BB,1,cjk,d_dung_0142#0,呀——！来势汹汹的珠部隐喻呢！
嗖,U+55D6,1,cjk,menu_dic_eg_du_dopl#1,然后嗖地被自己吞掉了！
嘁,U+5601,1,cjk,eg_pk_meds_l,美杜莎：嘁。给我记住。。
嘉,U+5609,1,cjk,ev_c_call23#0,蒂安：继曲子之后，可疑的嘉宾出演。
嘶,U+5636,1,cjk,eg_du_zibu_at1,嘶。
