lba,size,slot,flags,lines,keys,sample_keys
467066,8528,974,0,175,120,wed_mapsel_01,wed_f07,wed_f07_help,wed_f06,wed_f06_help,wed_f05,wed_f05_help,wed_f04
467071,21404,975,0,610,238,f_sun_42,f_sun_42_5,f_sun_42_4,f_sun_42_3,f_sun_42_2,f_sun_41,f_sun_39,f_sun_38
467082,14480,976,0,366,194,f_mon_34,f_mon_33,f_mon_32,f_mon_31,f_mon_30,f_mon_29,f_mon_28,f_mon_27
467090,19712,977,0,450,271,f_tue_22,f_tue_21,f_tue_20,f_tue_19,f_tue_18,f_tue_17,f_tue_16,f_tue_15
467100,15936,978,0,392,236,f_wed_pre02,f_wed_pre01,f_wed_34,f_wed_33,f_wed_32,f_wed_31,f_wed_30,f_wed_29
467108,16880,979,0,426,243,f_thu_57,f_thu_56,f_thu_55,f_thu_54,f_thu_53,f_thu_52,f_thu_51,f_thu_50
467117,19144,980,0,507,252,f_fri_pre01,f_fri_99,f_fri_98,f_fri_97,f_fri_96,f_fri_95,f_fri_94,f_fri_93
467127,29416,981,0,695,433,f_gho_02,f_gho_01,ev_gho_st30,ev_gho_st29,ev_gho_st28,ev_gho_st27,ev_gho_st26c,ev_gho_st26b
467142,26800,982,0,630,377,f_ear_31,f_ear_30,f_ear_29,f_ear_28,f_ear_27,f_ear_26,f_ear_25,f_ear_24
467156,3080,983,0,95,30,f_sun_30,f_sun_29,f_sun_28,f_sun_27,f_sun_26,f_sun_25,f_sun_24,f_sun_23
467158,6896,991,0,158,78,ev_wed_pre05,ev_wed_pre04,ev_wed_pre03,ev_wed_pre02,ev_wed_pre01,ev_tue_pre06,ev_tue_pre05,ev_tue_pre04
467162,632,992,0,13,9,ch6_101,ch6_101_w,ch6_101_ms2,ch6_101_ms1,ch6_101_ms11,ch6_101_l,ch6_101_d,ch6_101_atk1
467163,27644,993,0,534,390,eg_pw_yjyu,eg_pw_yjyu_w,eg_pw_yjyu_vo3,eg_pw_yjyu_vo2,eg_pw_yjyu_vo1,eg_pw_yjyu_r,eg_pw_yjyu_r2,eg_pw_yjyu_ms3
467177,29252,994,0,594,442,eg_pk_yayo,eg_pk_yayo_w,eg_pk_yayo_vo3,eg_pk_yayo_vo2,eg_pk_yayo_vo1,eg_pk_yayo_r,eg_pk_yayo_r2,eg_pk_yayo_ms34
467192,27248,995,0,561,429,eg_su_dvwm_ms34,eg_su_dvwm_ms33,eg_su_dvwm_ms22,eg_su_dvwm_ms221,eg_su_dvwm_ms21,eg_su_dvwm_ms211,eg_ev_zomb,eg_ev_zomb_w
